Test name,Execution time,Result
STC_0538.smt2,180.045029000,cvc5 interrupted by SIGTERM.
STC_0286.smt2,180.045244500,cvc5 interrupted by SIGTERM.
STC_0539.smt2,32.442078400,sat
STC_0786.smt2,180.046968500,cvc5 interrupted by SIGTERM.
STC_0540.smt2,1.060557000,sat
STC_0051.smt2,180.053932800,cvc5 interrupted by SIGTERM.
STC_0287.smt2,180.061222200,cvc5 interrupted by SIGTERM.
STC_0787.smt2,180.050417100,cvc5 interrupted by SIGTERM.
STC_0541.smt2,180.045154700,cvc5 interrupted by SIGTERM.
STC_0288.smt2,66.914848200,sat
STC_0052.smt2,180.051007300,cvc5 interrupted by SIGTERM.
STC_0289.smt2,95.402656900,sat
STC_0788.smt2,180.054993400,cvc5 interrupted by SIGTERM.
STC_0542.smt2,180.043727200,cvc5 interrupted by SIGTERM.
STC_0053.smt2,180.046006700,cvc5 interrupted by SIGTERM.
STC_0290.smt2,180.058175500,cvc5 interrupted by SIGTERM.
STC_0789.smt2,180.052005500,cvc5 interrupted by SIGTERM.
STC_0543.smt2,180.061348100,cvc5 interrupted by SIGTERM.
STC_0054.smt2,180.073571600,cvc5 interrupted by SIGTERM.
STC_0055.smt2,1.231630800,sat
STC_0291.smt2,180.041800800,cvc5 interrupted by SIGTERM.
STC_0790.smt2,180.045082300,cvc5 interrupted by SIGTERM.
STC_0544.smt2,180.046006700,cvc5 interrupted by SIGTERM.
STC_0056.smt2,151.307719000,sat
STC_0057.smt2,3.579714100,sat
STC_0292.smt2,180.036897000,cvc5 interrupted by SIGTERM.
STC_0791.smt2,180.037546800,cvc5 interrupted by SIGTERM.
STC_0545.smt2,180.035346000,cvc5 interrupted by SIGTERM.
STC_0058.smt2,180.035887600,cvc5 interrupted by SIGTERM.
STC_0293.smt2,180.037804400,cvc5 interrupted by SIGTERM.
STC_0792.smt2,180.037109000,cvc5 interrupted by SIGTERM.
STC_0546.smt2,180.034651200,cvc5 interrupted by SIGTERM.
STC_0059.smt2,180.038157900,cvc5 interrupted by SIGTERM.
STC_0060.smt2,6.301367900,sat
STC_0061.smt2,3.802529900,sat
STC_0547.smt2,127.091874800,sat
STC_0294.smt2,180.035864800,cvc5 interrupted by SIGTERM.
STC_0793.smt2,180.036684600,cvc5 interrupted by SIGTERM.
STC_0062.smt2,180.042346900,cvc5 interrupted by SIGTERM.
STC_0548.smt2,180.037824100,cvc5 interrupted by SIGTERM.
STC_0295.smt2,180.035108700,cvc5 interrupted by SIGTERM.
STC_0794.smt2,180.035428700,cvc5 interrupted by SIGTERM.
STC_0063.smt2,180.044460000,cvc5 interrupted by SIGTERM.
STC_0549.smt2,180.034342000,cvc5 interrupted by SIGTERM.
STC_0296.smt2,180.075054400,cvc5 interrupted by SIGTERM.
STC_0064.smt2,88.604103200,sat
STC_0795.smt2,180.034519700,cvc5 interrupted by SIGTERM.
STC_0065.smt2,9.471392700,sat
STC_0550.smt2,180.034292200,cvc5 interrupted by SIGTERM.
STC_0297.smt2,180.037176800,cvc5 interrupted by SIGTERM.
STC_0298.smt2,1.692076500,sat
STC_0796.smt2,180.038032600,cvc5 interrupted by SIGTERM.
STC_0066.smt2,180.039749500,cvc5 interrupted by SIGTERM.
STC_0551.smt2,180.033602800,cvc5 interrupted by SIGTERM.
STC_0299.smt2,180.034175400,cvc5 interrupted by SIGTERM.
STC_0797.smt2,180.036441000,cvc5 interrupted by SIGTERM.
STC_0067.smt2,180.034793900,cvc5 interrupted by SIGTERM.
STC_0552.smt2,180.035334900,cvc5 interrupted by SIGTERM.
STC_0300.smt2,180.043096700,cvc5 interrupted by SIGTERM.
STC_0798.smt2,180.034012500,cvc5 interrupted by SIGTERM.
STC_0068.smt2,180.039102600,cvc5 interrupted by SIGTERM.
STC_0553.smt2,180.038847400,cvc5 interrupted by SIGTERM.
STC_0301.smt2,180.037665600,cvc5 interrupted by SIGTERM.
STC_0799.smt2,180.037440400,cvc5 interrupted by SIGTERM.
STC_0069.smt2,180.034949600,cvc5 interrupted by SIGTERM.
STC_0800.smt2,58.868960300,sat
STC_0554.smt2,180.036490200,cvc5 interrupted by SIGTERM.
STC_0302.smt2,180.039406100,cvc5 interrupted by SIGTERM.
STC_0070.smt2,180.044721000,cvc5 interrupted by SIGTERM.
STC_0071.smt2,46.154081000,sat
STC_0801.smt2,180.035376500,cvc5 interrupted by SIGTERM.
STC_0555.smt2,180.034324200,cvc5 interrupted by SIGTERM.
STC_0802.smt2,79.775546600,sat
STC_0303.smt2,180.037197900,cvc5 interrupted by SIGTERM.
STC_0072.smt2,180.036508800,cvc5 interrupted by SIGTERM.
STC_0073.smt2,1.484744800,sat
STC_0556.smt2,180.034082600,cvc5 interrupted by SIGTERM.
STC_0803.smt2,180.037933600,cvc5 interrupted by SIGTERM.
STC_0304.smt2,180.037019900,cvc5 interrupted by SIGTERM.
STC_0074.smt2,180.034825400,cvc5 interrupted by SIGTERM.
STC_0557.smt2,180.036248700,cvc5 interrupted by SIGTERM.
STC_0804.smt2,180.044928800,cvc5 interrupted by SIGTERM.
STC_0305.smt2,180.037287600,cvc5 interrupted by SIGTERM.
STC_0306.smt2,1.030568300,sat
STC_0558.smt2,39.976698000,sat
STC_0075.smt2,180.036467100,cvc5 interrupted by SIGTERM.
STC_0805.smt2,180.043416000,cvc5 interrupted by SIGTERM.
STC_0307.smt2,180.036741000,cvc5 interrupted by SIGTERM.
STC_0559.smt2,180.037641700,cvc5 interrupted by SIGTERM.
STC_0560.smt2,25.869067600,sat
STC_0076.smt2,180.036392200,cvc5 interrupted by SIGTERM.
STC_0308.smt2,118.784447900,sat
