Test name,Execution time,Result
aproveSMT1488028023346829742.smt2,4.641259100,sat
aproveSMT1490265037770049094.smt2,.051343400,sat
aproveSMT1493211122690909738.smt2,180.040369600,cvc5 interrupted by SIGTERM.
aproveSMT1493481579405010773.smt2,180.057461800,cvc5 interrupted by SIGTERM.
aproveSMT1495471169759458844.smt2,180.038572600,cvc5 interrupted by SIGTERM.
aproveSMT1507981101076215391.smt2,.046010500,sat
aproveSMT1509084578101911401.smt2,.314580900,sat
aproveSMT1510730073127582778.smt2,.051256000,sat
aproveSMT1512594956864918898.smt2,13.354695100,unsat
aproveSMT1520057653194473355.smt2,.112724300,sat
aproveSMT1523980367405174209.smt2,.225914400,unsat
aproveSMT1524169612101880749.smt2,95.567906500,sat
aproveSMT1524826926711770017.smt2,22.192183500,unsat
aproveSMT1525871176258874853.smt2,180.029952000,cvc5 interrupted by SIGTERM.
aproveSMT1528276209530499763.smt2,.279345400,sat
aproveSMT1530191844080893274.smt2,180.035744200,cvc5 interrupted by SIGTERM.
aproveSMT1531524806192313496.smt2,3.268113600,sat
aproveSMT1532023922467952201.smt2,.111393500,sat
aproveSMT1532693751142879387.smt2,54.158280000,sat
aproveSMT1534770428320025856.smt2,.060809400,sat
aproveSMT1536166449877633622.smt2,66.381222800,sat
aproveSMT1539895024285315873.smt2,.504417200,sat
aproveSMT1544789664246371977.smt2,180.047408300,cvc5 interrupted by SIGTERM.
aproveSMT1548237899504304431.smt2,180.032746900,cvc5 interrupted by SIGTERM.
aproveSMT1552725945045906870.smt2,.070608000,sat
aproveSMT1556711866414050380.smt2,.056015800,sat
aproveSMT1557215903627424869.smt2,.056715700,sat
aproveSMT1561294428961634019.smt2,180.030169000,cvc5 interrupted by SIGTERM.
aproveSMT1561977767902818035.smt2,180.030738400,cvc5 interrupted by SIGTERM.
aproveSMT1562235939867086988.smt2,3.793528100,sat
aproveSMT1575921927310304758.smt2,5.166800700,sat
aproveSMT1587090375379285854.smt2,.055892300,sat
aproveSMT1587909491858118390.smt2,180.030838900,cvc5 interrupted by SIGTERM.
aproveSMT1591619124888968121.smt2,.087231600,sat
aproveSMT1592969382084981369.smt2,180.085631600,cvc5 interrupted by SIGTERM.
aproveSMT1593521587922959147.smt2,.766164500,unsat
aproveSMT1600414157221130678.smt2,18.411574300,sat
aproveSMT1601673458850878134.smt2,.243736000,sat
aproveSMT1610616370283981200.smt2,.054217300,sat
aproveSMT1618056451133106448.smt2,.056211100,sat
aproveSMT1619938986991890573.smt2,.075001700,sat
aproveSMT1623835320849046673.smt2,.118807500,sat
aproveSMT1624113917048396180.smt2,.060065200,sat
aproveSMT1628722508654092569.smt2,.078558200,sat
aproveSMT1639453584011788269.smt2,.088861200,sat
aproveSMT164281113689408140.smt2,.069039900,sat
aproveSMT1643036790343866300.smt2,.067052800,sat
aproveSMT1644868940941972141.smt2,1.875409200,unsat
aproveSMT1652619482144589486.smt2,.678692700,sat
aproveSMT1654803757550782549.smt2,.055260800,sat
aproveSMT1656844573245055412.smt2,180.037657300,cvc5 interrupted by SIGTERM.
aproveSMT1661996666195454572.smt2,.072143200,sat
aproveSMT166207192320126878.smt2,.428061200,sat
aproveSMT1666129670633360457.smt2,180.029931800,cvc5 interrupted by SIGTERM.
aproveSMT1669457300444119286.smt2,34.330669400,sat
aproveSMT1670784237506184716.smt2,.311277200,sat
aproveSMT1673548157733187442.smt2,.351106200,sat
aproveSMT1674578023825251899.smt2,4.635381100,unsat
aproveSMT1675975560109029137.smt2,.265552500,sat
aproveSMT1676012924572806871.smt2,.662324600,unsat
aproveSMT1676302656229570392.smt2,.137693400,sat
aproveSMT1682060320580950336.smt2,.049074100,sat
