Test name, Execution time, Result, Values
/20220315-MathProblems/STC_0200.smt2, 0.567535, SAT, x = -2 y = -2 z = 6 
/20220315-MathProblems/STC_0201.smt2, 1.165519, Not SAT
/20220315-MathProblems/STC_0202.smt2, 1.200962, Not SAT
/20220315-MathProblems/STC_0203.smt2, 1.160351, Not SAT
/20220315-MathProblems/STC_0204.smt2, 0.501867, SAT, x = -13 y = -7 z = 14 
/20220315-MathProblems/STC_0205.smt2, 0.470471, SAT, x = -19 y = -13 z = 21 
/20220315-MathProblems/STC_0206.smt2, 0.399381, SAT, x = -33 y = 15 z = 32 
/20220315-MathProblems/STC_0207.smt2, 0.424393, SAT, x = -29 y = 17 z = 27 
/20220315-MathProblems/STC_0208.smt2, 0.579873, SAT, x = -2 y = 0 z = 6 
/20220315-MathProblems/STC_0209.smt2, 0.035430, SAT, x = -95 y = 30 z = 94 
/20220315-MathProblems/STC_0210.smt2, 0.552775, SAT, x = -5 y = -2 z = 7 
/20220315-MathProblems/STC_0211.smt2, 1.151216, Not SAT
/20220315-MathProblems/STC_0212.smt2, 1.182080, Not SAT
/20220315-MathProblems/STC_0213.smt2, 1.170810, Not SAT
/20220315-MathProblems/STC_0214.smt2, 0.564761, SAT, x = -1 y = -1 z = 6 
/20220315-MathProblems/STC_0215.smt2, 0.554411, SAT, x = -4 y = -4 z = 7 
/20220315-MathProblems/STC_0216.smt2, 0.003940, SAT, x = -100 y = 6 z = 100 
/20220315-MathProblems/STC_0217.smt2, 0.550894, SAT, x = -8 y = 0 z = 9 
/20220315-MathProblems/STC_0218.smt2, 0.166865, SAT, x = -75 y = 58 z = 61 
/20220315-MathProblems/STC_0219.smt2, 0.550609, SAT, x = -5 y = 1 z = 7 
/20220315-MathProblems/STC_0220.smt2, 1.168154, Not SAT
/20220315-MathProblems/STC_0221.smt2, 1.192935, Not SAT
/20220315-MathProblems/STC_0222.smt2, 0.362927, SAT, x = -37 y = 20 z = 35 
/20220315-MathProblems/STC_0223.smt2, 0.446204, SAT, x = -25 y = -12 z = 26 
/20220315-MathProblems/STC_0224.smt2, 0.391382, SAT, x = -34 y = 26 z = 28 
/20220315-MathProblems/STC_0225.smt2, 0.309040, SAT, x = -48 y = -31 z = 52 
/20220315-MathProblems/STC_0226.smt2, 0.437963, SAT, x = -27 y = 21 z = 22 
/20220315-MathProblems/STC_0227.smt2, 1.161952, Not SAT
/20220315-MathProblems/STC_0228.smt2, 1.174362, Not SAT
/20220315-MathProblems/STC_0229.smt2, 1.164135, Not SAT
/20220315-MathProblems/STC_0230.smt2, 1.153437, Not SAT
/20220315-MathProblems/STC_0231.smt2, 1.146555, Not SAT
/20220315-MathProblems/STC_0232.smt2, 0.360828, SAT, x = -40 y = 17 z = 39 
/20220315-MathProblems/STC_0233.smt2, 0.422511, SAT, x = -31 y = -14 z = 32 
/20220315-MathProblems/STC_0234.smt2, 1.202596, Not SAT
/20220315-MathProblems/STC_0235.smt2, 0.072084, SAT, x = -88 y = -53 z = 94 
/20220315-MathProblems/STC_0236.smt2, 1.168165, Not SAT
/20220315-MathProblems/STC_0237.smt2, 1.173145, Not SAT
/20220315-MathProblems/STC_0238.smt2, 1.179271, Not SAT
/20220315-MathProblems/STC_0239.smt2, 1.234675, Not SAT
/20220315-MathProblems/STC_0240.smt2, 0.456690, SAT, x = -28 y = -13 z = 29 
/20220315-MathProblems/STC_0241.smt2, 0.526505, SAT, x = -10 y = 8 z = 9 
/20220315-MathProblems/STC_0242.smt2, 0.131580, SAT, x = -81 y = 27 z = 80 
/20220315-MathProblems/STC_0243.smt2, 0.601534, SAT, x = 0 y = 3 z = 6 
/20220315-MathProblems/STC_0244.smt2, 0.111926, SAT, x = -81 y = -27 z = 82 
/20220315-MathProblems/STC_0245.smt2, 0.560927, SAT, x = -5 y = 3 z = 7 
/20220315-MathProblems/STC_0246.smt2, 0.364504, SAT, x = -38 y = -29 z = 43 
/20220315-MathProblems/STC_0247.smt2, 1.180025, Not SAT
/20220315-MathProblems/STC_0248.smt2, 1.183418, Not SAT
